alpha,instance_id,hd_mean,hd_min,hd_max,hd_std,eng_count,bit_count,gs_count,best_energy,best_delta,target_density
0.02,169,3.93,0,15,4.0749355823129285,36,36,36,-5066.4600000024475,-2.44745024247095e-09,0.5552387740555952
0.02,170,5.39,0,18,4.134960701143362,16,16,16,-5095.5000000025,-2.5002009351737797e-09,0.5525659301496793
0.02,171,8.43,0,25,6.376919318918815,13,13,13,-4956.980000002342,-2.342858351767063e-09,0.557911617961511
0.02,172,6.66,0,19,5.097489578213966,20,20,20,-4970.180000002343,-2.342858351767063e-09,0.5491803278688525
0.02,173,1.72,0,12,2.821630734167744,67,67,67,-5077.960000002869,-2.8685462893918157e-09,0.5411617961511048
0.02,174,0.34,0,4,1.0316976301223144,90,90,90,-5148.880000002835,-2.8348949854262173e-09,0.5511404133998574
0.02,175,3.15,0,14,3.539420856580918,42,42,42,-5151.440000002815,-2.814886101987213e-09,0.5531004989308624
0.02,176,16.6,0,50,8.037412518964047,1,1,1,-4983.980000002197,-2.1973391994833946e-09,0.5589807555238774
0.02,177,5.58,0,20,4.2712527436338865,19,19,19,-4973.380000002336,-2.3355823941528797e-09,0.5470420527441198
0.02,178,2.14,0,8,2.4536503418376463,50,50,50,-5185.920000002638,-2.637534635141492e-09,0.561831789023521
0.02,179,8.62,0,28,5.341872330934164,10,10,10,-4903.820000002182,-2.181877789553255e-09,0.5573770491803278
0.02,180,6.75,0,22,4.893618293246829,15,15,15,-4989.960000002305,-2.3046595742926e-09,0.5570206699928724
0.02,181,6.95,0,27,5.221829181426754,17,17,17,-4971.260000002379,-2.3783286451362073e-09,0.5582679971489665
0.02,182,4.68,0,18,4.1469989148780835,25,25,25,-5161.160000002744,-2.7439455152489245e-09,0.5659301496792587
0.02,183,2.83,0,14,3.709595665298308,54,54,54,-5202.820000002676,-2.676642907317728e-09,0.561831789023521
0.02,184,6.7,0,21,4.848711168960263,16,16,16,-5002.520000002324,-2.3237589630298316e-09,0.5543478260869565
0.02,185,1.15,0,8,1.8621224449536071,69,69,69,-5099.680000002593,-2.5929693947546184e-09,0.5596935138987883
0.02,186,5.8,0,20,4.762352359916263,22,22,22,-5067.120000002596,-2.595697878859937e-09,0.5536350677120456
0.02,187,7.2,0,23,4.96185449202211,11,11,11,-4853.300000002085,-2.0845618564635515e-09,0.5595153243050606
0.02,188,6.9,0,24,4.759201613716317,10,10,10,-5096.280000002453,-2.4529072106815875e-09,0.5652173913043478
0.02,189,8.46,0,24,5.2543696101435415,12,12,12,-5116.920000002497,-2.496562956366688e-09,0.5589807555238774
0.02,190,4.79,0,18,4.6760988013514,29,29,29,-4972.520000002658,-2.6575435185804963e-09,0.5422309337134711
0.02,191,8.87,0,22,5.009301348491624,5,5,5,-4945.640000002107,-2.106389729306102e-09,0.5543478260869565
0.02,192,6.25,0,23,5.165994579942956,19,19,19,-4861.680000002498,-2.497472451068461e-09,0.5395580898075553
0.02,193,1.62,0,10,2.5210315349078836,64,64,64,-5136.680000002696,-2.6957422960549593e-09,0.5570206699928724
0.02,194,5.61,0,21,4.67951920607235,22,22,22,-4953.8200000022225,-2.2228050511330366e-09,0.5550605844618675
0.02,195,11.13,0,34,6.969440436649129,9,9,9,-4929.220000002092,-2.091837814077735e-09,0.5568424803991446
0.02,196,10.71,0,30,6.611043790506912,5,5,5,-5129.200000002493,-2.4929249775595963e-09,0.5604062722736992
0.02,197,4.57,0,18,4.620075756954641,33,33,33,-4990.160000002453,-2.4529072106815875e-09,0.5529223093371347
0.02,198,7.42,0,21,4.982328772772829,11,11,11,-5076.800000002454,-2.4538167053833604e-09,0.5637918745545261
0.02,199,3.25,0,15,3.4128433893163046,39,39,39,-5211.24000000281,-2.8103386284783483e-09,0.5630791161796151
0.04,0,0.66,0,8,1.471189994528239,81,81,81,-5428.080000002387,-2.3874235921539366e-09,0.552744119743407
0.04,1,0.24,0,4,0.8845337754998391,93,93,93,-5640.760000002513,-2.5129338609986007e-09,0.5702066999287242
0.04,2,0.06,0,3,0.42,98,98,98,-5733.36000000243,-2.4292603484354913e-09,0.5575552387740556
0.04,3,0.33,0,7,1.1229870880824944,91,91,91,-5479.800000002447,-2.446540747769177e-09,0.5563079116179616
0.04,4,0.0,0,0,0.0,100,100,100,-5809.640000002504,-2.5038389139808714e-09,0.5636136849607983
0.04,5,1.2,0,11,2.0639767440550294,69,69,69,-5289.960000002276,-2.2755557438358665e-09,0.5493585174625801
0.04,6,0.25,0,5,0.931396800509858,93,93,93,-5529.520000002387,-2.3865140974521637e-09,0.552744119743407
0.04,7,0.65,0,7,1.6635804759614126,85,85,85,-5400.360000002384,-2.384695108048618e-09,0.5488239486813971
0.04,8,0.81,0,9,2.105682787126304,84,84,84,-5581.080000002542,-2.5420376914553344e-09,0.5575552387740556
0.04,9,0.0,0,0,0.0,100,100,100,-5789.5200000025,-2.499291440472007e-09,0.5509622238061297
0.04,10,0.63,0,12,1.71262955714305,84,84,84,-5369.960000002442,-2.4419932742603123e-09,0.5595153243050606
0.04,11,0.27,0,3,0.8585452812752511,91,91,91,-5666.120000002568,-2.5684130378067493e-09,0.5554169636493229
0.04,12,1.23,0,6,1.886027571378531,68,68,68,-5482.760000002387,-2.3865140974521637e-09,0.5586243763364219
0.04,13,0.12,0,8,0.8863407922464136,98,98,98,-5677.080000002614,-2.6138877728953958e-09,0.544903777619387
0.04,14,1.1,0,6,1.5905973720586866,66,66,66,-5380.200000002438,-2.4383552954532206e-09,0.5482893799002139
0.04,15,0.66,0,6,1.5311433636338565,83,83,83,-5623.480000002498,-2.498381945770234e-09,0.5637918745545261
0.04,16,0.06,0,3,0.42,98,98,98,-5641.680000002538,-2.5374902179464698e-09,0.5473984319315752
0.04,17,0.68,0,8,1.4062716664997554,79,79,79,-5670.3200000025145,-2.5147528504021466e-09,0.5522095509622238
0.04,18,1.73,0,15,2.7707580190265624,66,66,66,-5245.080000002285,-2.2846506908535957e-09,0.5514967925873129
0.04,19,0.0,0,0,0.0,100,100,100,-6011.840000002464,-2.4638211471028626e-09,0.5477548111190307
0.04,20,0.29,0,4,0.9929249719893241,92,92,92,-5511.880000002501,-2.5011104298755527e-09,0.5671774768353528
0.04,21,0.65,0,10,1.627114009527298,83,83,83,-5389.960000002443,-2.4429027689620852e-09,0.5573770491803278
0.04,22,0.03,0,3,0.29849623113198603,99,99,99,-5794.040000002459,-2.459273673593998e-09,0.5630791161796151
0.04,23,1.1,0,9,2.042057785666214,74,74,74,-5380.880000002403,-2.4028850020840764e-09,0.5522095509622238
0.04,24,0.52,0,4,1.252836781069266,85,85,85,-5629.600000002467,-2.4665496312081814e-09,0.5602280826799715
0.04,25,2.82,0,13,3.1855297832542706,44,44,44,-5231.960000002266,-2.2655513021163642e-09,0.5605844618674269
0.04,26,1.04,0,7,2.416278129686233,84,84,84,-5548.160000002441,-2.4410837795585394e-09,0.5522095509622238
0.04,27,0.11,0,4,0.6307931515164065,97,97,97,-5776.960000002504,-2.5038389139808714e-09,0.571632216678546
0.04,28,0.21,0,3,0.7654410493303845,93,93,93,-5938.880000002526,-2.5256667868234217e-09,0.5541696364932288
0.04,29,0.67,0,7,1.5430813329180026,82,82,82,-5457.800000002443,-2.4429027689620852e-09,0.5536350677120456
0.04,30,0.16,0,7,0.856971411425142,96,96,96,-5860.360000002507,-2.5065673980861902e-09,0.5534568781183179
0.04,31,0.34,0,4,0.992169340384997,89,89,89,-5468.720000002557,-2.5565896066837013e-09,0.5557733428367784
0.04,32,0.33,0,6,1.0300970828033638,90,90,90,-5537.520000002484,-2.483830030541867e-09,0.5497148966500356
0.04,33,0.39,0,4,1.1215614116043757,89,89,89,-5812.68000000244,-2.4392647901549935e-09,0.5636136849607983
