alpha,instance_id,read_idx,hd,energy,delta_energy,is_target
0.01,0,76,305,-4668.630000000561,49.849999999438296,0
0.01,0,77,274,-4668.48000000056,49.99999999943975,0
0.01,0,78,308,-4668.360000000554,50.11999999944601,0
0.01,0,79,317,-4667.960000000557,50.519999999442916,0
0.01,0,80,319,-4667.750000000528,50.72999999947115,0
0.01,0,81,306,-4667.320000000563,51.15999999943688,0
0.01,0,82,334,-4667.250000000549,51.22999999945023,0
0.01,0,83,311,-4667.1700000005685,51.30999999943106,0
0.01,0,84,309,-4667.030000000529,51.44999999947049,0
0.01,0,85,297,-4666.480000000551,51.999999999448846,0
0.01,0,86,299,-4665.910000000549,52.569999999450374,0
0.01,0,87,350,-4665.880000000527,52.59999999947286,0
0.01,0,88,298,-4665.870000000547,52.60999999945216,0
0.01,0,89,308,-4665.730000000555,52.7499999994443,0
0.01,0,90,323,-4665.520000000542,52.95999999945798,0
0.01,0,91,307,-4665.480000000552,52.99999999944794,0
0.01,0,92,299,-4665.240000000566,53.23999999943317,0
0.01,0,93,330,-4664.840000000539,53.639999999461,0
0.01,0,94,289,-4663.890000000574,54.589999999425345,0
0.01,0,95,329,-4663.520000000567,54.95999999943251,0
0.01,0,96,330,-4663.320000000558,55.159999999441425,0
0.01,0,97,320,-4662.440000000553,56.03999999944699,0
0.01,0,98,305,-4659.750000000567,58.72999999943295,0
0.01,0,99,312,-4659.040000000539,59.43999999946027,0
